PLGDN;07.04.2005;06:00:00;SEUDD;MINCHEN D;Antigua and Barbuda;7723687;V2LG;1678;72.30;Polfracht Shipping Agency Ltd. ;PRZEMYS£OWE
PLGDN;07.04.2005;20:00:00;DKKAL;GAS TINY;Marshall Islands;9015319;V7GW3;1592;74.00;Polfracht Shipping Agency Ltd. ;PIRS GAZOWY PP
PLGDN;08.04.2005;08:00:00;SHASI;ASCENSION;United States;8912857;WBAS;3972;97.80;Pol-Mare Sp. z o. o.;Nab.Rudowe
PLGDN;09.04.2005;19:00:00;DERSK;GLOBIA;Saint Vincent and the Grenadines;7823334;J8B2794;1095;66.15;Polfracht Shipping Agency Ltd. ;PRZEMYS£OWE
PLGDN;10.04.2005;19:30:00;LTKLJ;KAUNAS;Lithuania;8311924;LYAG;25606;190.00;DFDS SEAWAYS Sp. z o. o.;Westerplatte
PLGDN;11.04.2005;10:00:00;RULED;PETSAMO;Finland;7517545;OIZH;2356;84.28;Cargo Service Co. Ltd Gdañsk;NAB. SZCZECIÑSKIE
PLGDN;12.04.2005;07:00:00;RULED;FINNSTRAUM;Norway;9172222;LAJF5;9956;140.20;Polfracht Shipping Agency Ltd. ;"BPPP - JETTY "" R """
PLGDN;15.04.2005;02:00:00;DEWAR;JOLANDA;Antigua and Barbuda;5298107;V2PH5;499;57.75;Polfracht Shipping Agency Ltd. ;PRZEMYS£OWE
PLGDN;15.04.2005;10:00:00;LTKLJ;ALLORA;Honduras;6505600;HQRN2;517;47.85;Polfracht Shipping Agency Ltd. ;PRZEMYS£OWE
PLGDN;15.04.2005;07:00:00;NLRTM;AMALIENBORG;Denmark;9127186;OYIJ2;11290;144.00;Polfracht Shipping Agency Ltd. ;"BPPP JETTY "" P """
PLGDN;16.04.2005;06:00:00;PLSWI;ROMANKA;Poland;8026440;SQLT;997;64.00;Ship-Service S.A.;BAZA PROMOWA NR 3
PLGDN;17.04.2005;12:55:00;RULED;PETSAMO;Finland;7517545;OIZH;2356;84.28;Cargo Service Co. Ltd Gdañsk;NAB. SZCZECIÑSKIE
PLGDN;22.04.2005;15:00:00;NLAMS;SHEN NONG FENG;China;9230385;BRUO;39894;225.00;Polfracht Shipping Agency Ltd. ;PIRS WÊGLOWY PP
PLGDN;24.04.2005;19:30:00;LTKLJ;KAUNAS;Lithuania;8311924;LYAG;25606;190.90;DFDS SEAWAYS Sp. z o. o.;WESTERPLATTE
PLGDN;25.04.2005;11:00:00;NLRTM;VICTORY C;Panama;8513015;3FIM9;36098;225.78;Polfracht Shipping Agency Ltd. ;PIRS WÊGLOWY PP
