Kod portu;Data przybycia;Godzina przybycia;Kod portu, z którego jednostka przyp³ynê³a;Nazwa statku;Bandera;nr IMO;Sygna³ wywo³awczy;Pojemnoœæ brutto;D³ugoœæ;Agent;Nabrze¿e (miejsce zacumowania)
PLPLC;2011-01-26;02:30:00;TNSFA;ZIEMIA CHELMINSKA;Liberia;8207769;A8DT2;16699;180.25;POLSTEAM SHIPPING AGENCY Ltd.;Police Port Morski
PLPLC;2011-01-27;15:10:00;LVVNT;CORAL IVORY;Netherlands;9207039;PHPE;5831;115.89;Wilhelmsen Ships Service Polska Sp. z o.o. ;Police Mijanka
PLPLC;2011-01-28;18:10:00;LTKLJ;OMSKIY 141;Russian Federation;8873764;UGZK;2460;108.40;Trans Baltic Spó³ka Cywilna;Port Barkowy
PLPLC;2011-01-30;18:30:00;MACAS;ISADORA;Cyprus;9180372;P3LA8;21387;199.90;POLSTEAM SHIPPING AGENCY Ltd.;Police Port Morski 
PLPLC;2011-01-30;11:20:00;PLSZZ;PAPER MOON;Antigua and Barbuda;8919855;V2PR2;2292;84.64;KEYTRADE;PORT MORSKI POLICE
PLPLC;2011-01-30;09:40:00;PLSZZ;HEKLA;Netherlands;9356505;PHPD;2281;88.97;Albers-Hansen Sp. z o.o.;PORT MORSKI - Szczecin Bulgarskie (postojowe)
PLPLC;2011-01-31;15:45:00;PLSWI;RMS GOOLE;Antigua and Barbuda;9213600;V2BJ4;2069;80.10;AHLMANN ZERSSEN Sp. z o.o.;Police Port Morski
PLPLC;2011-02-01;18:50:00;LVVNT;OMSKIY 135;Russian Federation;8881723;UIWY;2528;108.40;Wilhelmsen Ships Service Polska Sp. z o.o. ;Port Barkowy Police
PLPLC;2011-02-03;13:20:00;PLSZZ;ANDREA;Netherlands;9350939;PHGZ;2409;82.50;Unibaltic Sp. z o.o.;POLICE PORT MORSKI
PLPLC;2011-02-04;18:10:00;LTKLJ;SORMOVSKIY 53;Russian Federation;8628133;UAKX;2478;114.02;Wilhelmsen Ships Service Polska Sp. z o.o. ;PORT BARKOWY
PLPLC;2011-02-06;17:05:00;DESTA;SAMIRA;Netherlands;9240744;PCCG;1435;79.99;Ger Pol Shipping & Forwarding Co. Ltd. ;Police Port Morski
PLPLC;2011-02-07;12:50:00;NLDZL;WATERSTRAAT;Netherlands;9428059;PCIV;294;28.67;BALTUS SHIPPING;PM POLICE
PLPLC;2011-02-11;19:00:00;NOSVG;STROOMBANK;Netherlands;9356543;PBSE;2999;89.95;KOSIOR SHIPPING COMPANY Sp. z o.o.;Police Port Morski
PLPLC;2011-02-12;12:30:00;DEBRB;CORAL OBELIA;Netherlands;9053816;PDKU;3853;92.00;Wilhelmsen Ships Service Polska Sp. z o.o. ;Police Mijanka
PLPLC;2011-02-14;03:00:00;NO888;AASHEIM;Gibraltar;9247106;ZDKD8;4112;107.05;NEPTUNE AGENCY Sp. z o.o. ;PORT MORSKI
PLPLC;2011-02-14;17:00:00;LVVNT;SORMOVSKIY 53;Russian Federation;8628133;UAKX;2478;114.02;Trans Baltic Spó³ka Cywilna;Port Barkowy
PLPLC;2011-02-16;09:30:00;LTKLJ;VOLGOBALT 238;Russian Federation;8230522;UIDA;2457;114.00;Wilhelmsen Ships Service Polska Sp. z o.o. ;Police Port Barkowy
PLPLC;2011-02-16;03:06:00;DEBRB;CORAL OBELIA;Netherlands;9053816;PDKU;3853;92.00;Wilhelmsen Ships Service Polska Sp. z o.o. ;Police Mijanka
PLPLC;2011-02-16;22:45:00;TNSFA;OKSYWIE;Liberia;8502547;A8DS8;21460;195.27;POLSTEAM SHIPPING AGENCY Ltd.;police morskie
PLPLC;2011-02-18;02:40:00;LVVNT;OMSKIY 137;Russian Federation;8873087;UANQ;2528;108.40;Wilhelmsen Ships Service Polska Sp. z o.o. ;Police Port Barkowy
PLPLC;2011-02-18;21:50:00;DKKOL;WILSON HOOK;Cyprus;9017434;P3TW9;2993;89.98;Unibaltic Sp. z o.o.;POLICE PORT MORSKI
PLPLC;2011-02-20;20:25:00;LTKLJ;SORMOVSKIY 53;Russian Federation;8628133;UAKX;2478;114.02;Trans Baltic Spó³ka Cywilna;Port Barkowy
PLPLC;2011-02-21;17:55:00;GBIMM;KUANYIN;Hong Kong ;9465722;VRDO8;14912;159.90;Unibaltic Sp. z o.o.;HUTA KRA 1
PLPLC;2011-02-22;18:00:00;LTKLJ;VOLGOBALT 238;Russian Federation;8230522;UIDA;2457;114.00;Trans Baltic Spó³ka Cywilna;Port Barkowy 
PLPLC;2011-02-22;17:40:00;LVVNT;OMSKIY 140;Russian Federation;8867052;UANX;2470;108.40;Trans Baltic Spó³ka Cywilna;Port Barkowy
PLPLC;2011-02-26;20:15:00;LTKLJ;OMSKIY 135;Russian Federation;8881723;UIWY;2528;108.40;Wilhelmsen Ships Service Polska Sp. z o.o. ;Port Barkowy Police
PLPLC;2011-02-28;10:00:00;LTKLJ;SORMOVSKIY-3001;Russian Federation;7942946;UCWS;2491;114.00;Wilhelmsen Ships Service Polska Sp. z o.o. ;Police Morski-Barkowy
PLPLC;2011-03-01;19:40:00;DZAAE;BATALIONY CHLOPSKIE;Liberia;8502573;A8DS7;21460;195.24;POLSTEAM SHIPPING AGENCY Ltd.;Police M
PLPLC;2011-03-02;16:20:00;LTKLJ;OMSKIY 140;Russian Federation;8867052;UNAX;2470;108.40;Wilhelmsen Ships Service Polska Sp. z o.o. ;Barkowy
PLPLC;2011-03-02;03:00:00;PLSZZ;HAV ZANDER;Bahamas;9001849;C6XN5;1960;88.28;KOSIOR SHIPPING COMPANY Sp. z o.o.;PORT MORSKI
PLPLC;2011-03-04;12:00:00;PLSZZ;ROMANKA;Poland;8026440;SQLT;997;64.00;Ship-Service S.A.;nab. ZBO¯OWE
PLPLC;2011-03-05;19:10:00;LTKLJ;VOLGOBALT 243;Russian Federation;8230572;UAKV;2457;114.00;Wilhelmsen Ships Service Polska Sp. z o.o. ;Police Port Morski Barkowy
